snapped_at,price,market_cap,total_volume
2018-06-13 00:00:00 UTC,6581.82807522796,112482862604.77500,2060764062.9813200
2018-06-14 00:00:00 UTC,6334.09890642618,108260201574.01900,2571112868.4509000
2018-06-15 00:00:00 UTC,6644.72067973844,113582443265.84200,2354179149.4928300
2018-06-16 00:00:00 UTC,6406.80704950998,109527730085.0740,1740752641.6341300
2018-06-17 00:00:00 UTC,6478.81592433021,110772203147.8280,1306649275.5030100
2018-06-18 00:00:00 UTC,6418.85000188746,109759607021.02500,1120785833.1800700
2018-06-19 00:00:00 UTC,6677.53340291194,114196505243.23900,1750367371.2555800
2018-06-20 00:00:00 UTC,6708.68182027534,114742187734.30700,1649449915.2393900
2018-06-21 00:00:00 UTC,6714.37546123014,114852494305.80500,1626421446.364750
2018-06-22 00:00:00 UTC,6690.832151608,114463912846.04500,1400178395.5280400
2018-06-23 00:00:00 UTC,6088.57944239075,104172397755.09800,2932411240.2021000
2018-06-24 00:00:00 UTC,6169.43726386169,105568325740.5690,1635692582.8272400
2018-06-25 00:00:00 UTC,6159.70719379414,105415073017.07500,2452039491.998070
2018-06-26 00:00:00 UTC,6241.84871170546,106832748619.81500,4326984848.152790
2018-06-27 00:00:00 UTC,6069.87260616628,103900589095.60600,3248018159.5091800
2018-06-28 00:00:00 UTC,6117.03640962264,104717160923.03600,2057221707.976690
2018-06-29 00:00:00 UTC,5879.98897440643,100670773791.78300,1928320709.0794500
2018-06-30 00:00:00 UTC,6182.25674792295,105857391286.9160,2341618860.2006900
2018-07-01 00:00:00 UTC,6366.49946751097,109023438456.36500,2086842501.722630
2018-07-02 00:00:00 UTC,6312.87724313135,108116702994.83400,2601785821.8298500
2018-07-03 00:00:00 UTC,6595.5473128085,112969688594.56400,3392521918.1209300
2018-07-04 00:00:00 UTC,6497.60735494217,111301577387.40100,3013786718.6534000
2018-07-05 00:00:00 UTC,6562.7217371211,112427869579.76000,3111969366.0956300
2018-07-06 00:00:00 UTC,6537.74087162192,112011029362.86700,3315114737.710070
2018-07-07 00:00:00 UTC,6603.29470396542,113147533991.98400,4742128037.640010
